H_grid, H_cell_center
113.27,111.4
109.09,106.42
103.49,100.36
97.083,93.707
90.271,86.809
83.347,79.908
76.509,73.166
69.889,66.688
63.571,60.541
57.604,54.761
52.015,49.366
46.814,44.359
41.999,39.734
37.561,35.479
33.485,31.579
29.756,28.016
26.354,24.77
23.261,21.824
20.456,19.156
17.921,16.748
15.636,14.582
13.584,12.639
11.745,10.9
10.103,9.3505
8.6409,7.9721
7.3422,6.7492
6.1911,5.666
5.172,4.7072
4.2696,3.8576
3.4691,3.1025
2.7558,2.4274
2.1154,1.818
1.5335,1.2602
0.99622,0.73994
0.48962,0.24354
0,NaN
