H_grid, H_cell_center
113.23,111.36
109.05,106.39
103.46,100.33
97.05,93.675
90.241,86.78
83.319,79.881
76.484,73.142
69.866,66.667
63.55,60.522
57.586,54.744
51.999,49.351
46.8,44.345
41.987,39.722
37.55,35.468
33.476,31.57
29.748,28.008
26.347,24.764
23.255,21.818
20.451,19.151
17.917,16.745
15.633,14.579
13.581,12.636
11.742,10.898
10.101,9.3487
8.6393,7.9707
7.341,6.7482
6.1902,5.6652
5.1713,4.7066
4.2691,3.8571
3.4688,3.1022
2.7556,2.4272
2.1152,1.8179
1.5334,1.2601
0.99616,0.7399
0.4896,0.24353
0,NaN
