year, month, day, m3/s
2007,6,1,0.4
2007,6,2,2.5
2007,6,3,4.5
2007,6,4,4.8
2007,6,5,5
2007,6,6,5.5
2007,6,7,6.8
2007,6,8,7.5
2007,6,9,6.9
2007,6,10,9.6
2007,6,11,11.9
2007,6,12,11
2007,6,13,17.1
2007,6,14,15.1
2007,6,15,17.2
2007,6,16,25.6
2007,6,17,31.6
2007,6,18,39.9
2007,6,19,36.7
2007,6,20,40.4
2007,6,21,48.5
2007,6,22,47.1
2007,6,23,52.5
2007,6,24,52
2007,6,25,56.4
2007,6,26,59.3
2007,6,27,48.6
2007,6,28,52.1
2007,6,29,11.5
2007,6,30,9.7
2007,7,1,9.8
2007,7,2,10.4
2007,7,3,13.4
2007,7,4,15.5
2007,7,5,23.1
2007,7,6,28.9
2007,7,7,36.1
2007,7,8,28.5
2007,7,9,36.1
2007,7,10,36.7
2007,7,11,42.3
2007,7,12,36
2007,7,13,28.3
2007,7,14,35.4
2007,7,15,33.6
2007,7,16,35.9
2007,7,17,37
2007,7,18,21.9
2007,7,19,23.1
2007,7,20,26.6
2007,7,21,27.3
2007,7,22,35.8
2007,7,23,39.2
2007,7,24,27
2007,7,25,27.6
2007,7,26,31.6
2007,7,27,26.5
2007,7,28,24.6
2007,7,29,24
2007,7,30,17.8
2007,7,31,23.4
2007,8,1,21.3
2007,8,2,22.7
2007,8,3,14.4
2007,8,4,19
2007,8,5,26.4
2007,8,6,13.6
2007,8,7,33.5
2007,8,8,10.6
2007,8,9,6.4
2007,8,10,17
2007,8,11,17.4
2007,8,12,17.3
2007,8,13,10.9
2007,8,14,18.5
2007,8,15,11.7
2007,8,16,4
2007,8,17,10.7
2007,8,18,1.4
2007,8,19,0.8
2007,8,20,0
2007,8,21,0
2007,8,22,0.5
2007,8,23,1.1
2007,8,24,1.2
2007,8,25,1
2007,8,26,2
2007,8,27,1.6
2007,8,28,1.7
2007,8,29,0.6
2007,8,30,0.8
2007,8,31,1.2
2007,9,1,0.2
2007,9,2,0
2007,9,3,0.8
2007,9,4,0.3
2007,9,5,0.8
2007,9,6,0.3
2007,9,7,1
2007,9,8,1
2007,9,9,0.4
2007,9,10,0.7
2007,9,11,0.5
2007,9,12,0
2007,9,13,0
2007,9,14,0
2007,9,15,0
2007,9,16,0
2007,9,17,0.6
2007,9,18,0.6
2007,9,19,0.4
2007,9,20,0.2
2007,9,21,0
2007,9,22,0
2007,9,23,0
2007,9,24,0
2007,9,25,0
2007,9,26,0
2007,9,27,0
2007,9,28,0
2007,9,29,0
2007,9,30,0
