H_grid, H_cell_center
54.147,53.269
52.21,51.008
49.695,48.3
46.845,45.349
43.829,42.298
40.767,39.246
37.741,36.259
34.804,33.38
31.991,30.638
29.323,28.046
26.809,25.612
24.455,23.338
22.26,21.22
20.219,19.255
18.327,17.435
16.578,15.754
14.963,14.203
13.475,12.775
12.105,11.462
10.846,10.255
9.6894,9.1475
8.6285,8.1315
7.6555,7.1998
6.7633,6.3453
5.945,5.5614
5.1938,4.8413
4.5032,4.1786
3.8668,3.567
3.2784,3.0002
2.7318,2.4723
2.221,1.9772
1.7401,1.5091
1.2833,1.0621
0.8448,0.63064
0.41892,0.20894
0,NaN
