H_grid, H_cell_center
55.389,54.491
53.405,52.173
50.827,49.396
47.903,46.368
44.809,43.238
41.668,40.106
38.563,37.042
35.55,34.089
32.664,31.276
29.928,28.619
27.351,26.124
24.938,23.792
22.688,21.623
20.597,19.61
18.66,17.747
16.869,16.026
15.216,14.44
13.694,12.979
12.294,11.637
11.008,10.405
9.8276,9.2747
8.7454,8.2387
7.7536,7.2894
6.845,6.4197
6.0125,5.6225
5.249,4.891
4.5479,4.2186
3.9025,3.5988
3.3066,3.0251
2.7536,2.4914
2.2376,1.9915
1.7523,1.5194
1.2918,1.069
0.85018,0.63458
0.4215,0.21021
0,NaN
