year, month, day, m3/s
2007,6,1,0.4
2007,6,2,1.8
2007,6,3,2.8
2007,6,4,3.7
2007,6,5,4.4
2007,6,6,4.8
2007,6,7,5.6
2007,6,8,6.2
2007,6,9,5.7
2007,6,10,7.8
2007,6,11,8.6
2007,6,12,7.4
2007,6,13,11.9
2007,6,14,9.7
2007,6,15,10.8
2007,6,16,16.8
2007,6,17,24.5
2007,6,18,47.9
2007,6,19,53.4
2007,6,20,61.3
2007,6,21,66.4
2007,6,22,52.2
2007,6,23,72.7
2007,6,24,81.1
2007,6,25,88.5
2007,6,26,94.9
2007,6,27,79.8
2007,6,28,89.9
2007,6,29,7.4
2007,6,30,6.8
2007,7,1,5.3
2007,7,2,6.7
2007,7,3,9.9
2007,7,4,22.6
2007,7,5,48
2007,7,6,58.7
2007,7,7,75.2
2007,7,8,61.7
2007,7,9,76.3
2007,7,10,82.6
2007,7,11,89.5
2007,7,12,75.9
2007,7,13,69.2
2007,7,14,76.1
2007,7,15,78.7
2007,7,16,75.4
2007,7,17,62
2007,7,18,24.7
2007,7,19,23.8
2007,7,20,32.1
2007,7,21,41.4
2007,7,22,58.3
2007,7,23,71
2007,7,24,53.9
2007,7,25,58.8
2007,7,26,74
2007,7,27,65.2
2007,7,28,58.5
2007,7,29,52
2007,7,30,46.5
2007,7,31,53.8
2007,8,1,53.5
2007,8,2,60.9
2007,8,3,46.8
2007,8,4,57
2007,8,5,72
2007,8,6,46.7
2007,8,7,61.8
2007,8,8,30.5
2007,8,9,30.2
2007,8,10,24.5
2007,8,11,30.6
2007,8,12,35.3
2007,8,13,20.9
2007,8,14,42.2
2007,8,15,28.7
2007,8,16,13.2
2007,8,17,6
2007,8,18,1.3
2007,8,19,0.5
2007,8,20,0
2007,8,21,0
2007,8,22,0.4
2007,8,23,0.8
2007,8,24,1.1
2007,8,25,1.1
2007,8,26,1.8
2007,8,27,1.3
2007,8,28,1.4
2007,8,29,0.7
2007,8,30,0.7
2007,8,31,1.1
2007,9,1,0.4
2007,9,2,0
2007,9,3,0.7
2007,9,4,0.3
2007,9,5,0.9
2007,9,6,0.1
2007,9,7,0.8
2007,9,8,0.9
2007,9,9,0.4
2007,9,10,0.8
2007,9,11,0.5
2007,9,12,0
2007,9,13,0
2007,9,14,0
2007,9,15,0
2007,9,16,0
2007,9,17,0.5
2007,9,18,0.6
2007,9,19,0.4
2007,9,20,0.2
2007,9,21,0
2007,9,22,0
2007,9,23,0
2007,9,24,0
2007,9,25,0
2007,9,26,0
2007,9,27,0
2007,9,28,0
2007,9,29,0
2007,9,30,0
