;year;month;day;Discharge Flux (m3/s);Entrained Flux (m3/s);Plume Height (m);Discharge Vol (m3);Entrained Vol (m3)
0;2007;6;1;0.2;0.0;85.10000000000001;4320.0;0.0
1;2007;6;2;1.6;0.0;107.30000000000001;34560.0;0.0
2;2007;6;3;3.0;0.0;108.9;64800.0;0.0
3;2007;6;4;3.5;0.0;109.5;75600.0;0.0
4;2007;6;5;3.8;0.0;109.0;82080.0;0.0
5;2007;6;6;3.9;0.0;109.7;84240.0;0.0
6;2007;6;7;4.0;0.0;109.5;86400.0;0.0
7;2007;6;8;4.2;0.0;109.0;90720.0;0.0
8;2007;6;9;3.9;0.0;109.7;84240.0;0.0
9;2007;6;10;5.2;0.0;109.9;112320.0;0.0
10;2007;6;11;5.9;0.0;106.60000000000001;127440.0;0.0
11;2007;6;12;5.8;0.0;109.80000000000001;125280.0;0.0
12;2007;6;13;9.3;0.0;106.7;200880.0;0.0
13;2007;6;14;8.8;0.0;106.5;190080.0;0.0
14;2007;6;15;10.5;262.5267697202905;110.4;226800.0;5670578.225958275
15;2007;6;16;16.2;312.3869299132808;110.7;349920.0;6747557.686126865
16;2007;6;17;20.4;343.0148060283909;111.0;440640.0;7409119.8102132445
17;2007;6;18;32.9;417.47872418420536;111.0;710640.0;9017540.442378836
18;2007;6;19;35.7;431.89109183824286;111.0;771120.0;9328847.583706046
19;2007;6;20;36.7;436.8840403982087;111.0;792720.0;9436695.272601308
20;2007;6;21;40.0;452.872932659996;111.0;864000.0;9782055.345455915
21;2007;6;22;37.8;442.2977581839064;111.0;816480.0;9553631.576772377
22;2007;6;23;45.5;478.00069983987567;111.0;982800.0;10324815.116541315
23;2007;6;24;50.1;497.78392590469093;111.0;1082160.0;10752132.799541324
24;2007;6;25;58.1;529.9901562608054;111.0;1254960.0;11447787.375233397
25;2007;6;26;62.8;547.8096100205714;111.0;1356480.0;11832687.576444343
26;2007;6;27;57.6;528.04981682762;111.0;1244160.0;11405876.043476593
27;2007;6;28;68.0;566.7107320748104;111.0;1468800.0;12240951.812815903
28;2007;6;29;6.4;0.0;107.0;138240.0;0.0
29;2007;6;30;6.2;0.0;109.9;133920.0;0.0
30;2007;7;1;4.4;0.0;109.80000000000001;95040.0;0.0
31;2007;7;2;5.7;0.0;109.9;123120.0;0.0
32;2007;7;3;9.3;0.0;106.7;200880.0;0.0
33;2007;7;4;14.0;294.54255181012593;110.5;302400.0;6362119.119098721
34;2007;7;5;21.0;347.0894048343531;111.0;453600.0;7497131.144422026
35;2007;7;6;26.3;380.5995795057387;111.0;568080.0;8220950.917323955
36;2007;7;7;34.3;424.76471155482795;111.0;740880.0;9174917.769584283
37;2007;7;8;27.4;387.07089257104985;111.0;591840.0;8360731.279534677
38;2007;7;9;38.0;443.27323753456307;111.0;820800.0;9574701.930746563
39;2007;7;10;45.4;477.5589714434483;111.0;980640.0;10315273.783178482
40;2007;7;11;53.3;510.97280459607174;111.0;1151280.0;11037012.57927515
41;2007;7;12;47.5;486.7285946681585;111.0;1026000.0;10513337.644832224
