;year;month;day;Discharge Flux (m3/s);Entrained Flux (m3/s);Plume Height (m);Discharge Vol (m3);Entrained Vol (m3)
0;2007;6;1;0.4;10.668161401187751;32.0;8640.0;230432.28626565542
1;2007;6;2;2.5;22.708621569233316;32.0;54000.0;490506.2258954396
2;2007;6;3;4.5;29.281045768406052;32.0;97200.0;632470.5885975708
3;2007;6;4;4.8;30.121157552928583;32.0;103680.0;650617.0031432573
4;2007;6;5;5.0;30.66618264134351;32.0;108000.0;662389.5450530198
5;2007;6;6;5.5;31.98109436059419;32.0;118800.0;690791.6381888345
6;2007;6;7;6.8;35.13483920100457;32.0;146880.0;758912.5267416987
7;2007;6;8;7.5;36.703763393210686;32.0;162000.0;792801.2892933508
8;2007;6;9;6.9;35.36346882813515;32.0;149040.0;763850.9266877191
9;2007;6;10;9.6;41.00695630115727;32.0;207360.0;885750.256104997
10;2007;6;11;11.9;45.198730441016636;32.0;257040.0;976292.5775259594
11;2007;6;12;11.0;43.612461254952734;32.0;237600.0;942029.1631069791
12;2007;6;13;17.1;53.363431412921976;32.0;369360.0;1152650.1185191148
13;2007;6;14;15.1;50.39550764502936;32.0;326160.0;1088542.9651326342
14;2007;6;15;17.2;53.50710409448297;32.0;371520.0;1155753.448440832
15;2007;6;16;25.6;64.35942723626309;32.0;552960.0;1390163.6283032827
16;2007;6;17;31.6;71.04144719024046;32.0;682560.0;1534495.259309194
17;2007;6;18;39.9;79.31676789850007;32.0;861840.0;1713242.1866076016
18;2007;6;19;36.7;76.2377950647405;32.0;792720.0;1646736.3733983948
19;2007;6;20;40.4;79.78670905182656;32.0;872640.0;1723392.9155194536
20;2007;6;21;48.5;87.03146668910819;32.0;1047600.0;1879879.6804847368
21;2007;6;22;47.1;85.82467460883913;32.0;1017360.0;1853812.9715509254
22;2007;6;23;52.5;90.38756102277074;32.0;1134000.0;1952371.318091848
23;2007;6;24;52.0;89.97521950742919;32.0;1123200.0;1943464.7413604704
24;2007;6;25;56.4;93.54056756862903;32.0;1218240.0;2020476.259482387
25;2007;6;26;59.3;95.81542511144006;32.0;1280880.0;2069613.1824071053
26;2007;6;27;48.6;87.117002426368;32.0;1049760.0;1881727.252409549
27;2007;6;28;52.1;90.05786898996982;32.0;1125360.0;1945249.970183348
28;2007;6;29;11.5;44.501602475473355;32.0;248400.0;961234.6134702247
29;2007;6;30;9.7;41.19920141121338;32.0;209520.0;889902.750482209
30;2007;7;1;9.8;41.39093146470735;32.0;211680.0;894044.1196376788
31;2007;7;2;10.4;42.5179978495583;32.0;224640.0;918388.7535504594
32;2007;7;3;13.4;47.7129862108688;32.0;289440.0;1030600.5021547661
33;2007;7;4;15.5;51.00430271643859;32.0;334800.0;1101692.9386750734
34;2007;7;5;23.1;61.34559561742501;32.0;498960.0;1325064.8653363802
35;2007;7;6;28.9;68.12076307229586;32.0;624240.0;1471408.4823615905
36;2007;7;7;36.1;75.64629137299951;32.0;779760.0;1633959.8936567896
37;2007;7;8;28.5;67.6766964366306;32.0;615600.0;1461816.643031221
38;2007;7;9;36.1;75.64629137299951;32.0;779760.0;1633959.8936567896
39;2007;7;10;36.7;76.2377950647405;32.0;792720.0;1646736.3733983948
40;2007;7;11;42.3;81.54629832603518;32.0;913680.0;1761400.0438423601
41;2007;7;12;36.0;75.54716780146349;32.0;777600.0;1631818.8245116111
42;2007;7;13;28.3;67.45350162637229;32.0;611280.0;1456995.6351296415
43;2007;7;14;35.4;74.94951900152103;32.0;764640.0;1618909.6104328544
44;2007;7;15;33.6;73.12578053880472;32.0;725760.0;1579516.859638182
45;2007;7;16;35.9;75.44790803997603;32.0;775440.0;1629674.8136634822
46;2007;7;17;37.0;76.53190832608033;32.0;799200.0;1653089.219843335
