;year;month;day;Discharge Flux (m3/s);Entrained Flux (m3/s);Plume Height (m);Discharge Vol (m3);Entrained Vol (m3)
0;2007;6;1;0.4;0.0;50.300000000000004;8640.0;0.0
1;2007;6;2;1.8;42.255412957928144;53.0;38880.0;912716.919891248
2;2007;6;3;2.8;50.52092149101124;53.0;60480.0;1091251.9042058426
3;2007;6;4;3.7;56.627073771278006;53.0;79920.0;1223144.793459605
4;2007;6;5;4.4;60.82631833907444;53.0;95040.0;1313848.476124008
5;2007;6;6;4.8;63.06181248910653;53.0;103680.0;1362135.149764701
6;2007;6;7;5.6;67.24713247561195;53.0;120960.0;1452538.0614732183
7;2007;6;8;6.2;70.17706499892164;53.0;133920.0;1515824.6039767072
8;2007;6;9;5.7;67.74728195151692;53.0;123120.0;1463341.2901527656
9;2007;6;10;7.8;77.31150868227589;53.0;168480.0;1669928.5875371592
10;2007;6;11;8.6;80.58375447253697;53.0;185760.0;1740609.0966067985
11;2007;6;12;7.4;75.60818655329952;53.0;159840.0;1633136.8295512698
12;2007;6;13;11.9;92.60817417138378;53.0;257040.0;2000336.5621018894
13;2007;6;14;9.7;84.82805230543826;53.0;209520.0;1832285.9297974668
14;2007;6;15;10.8;88.82329469457339;53.0;233280.0;1918583.1654027854
15;2007;6;16;16.8;107.56258154305011;53.0;362880.0;2323351.761329883
16;2007;6;17;24.5;127.011939262395;53.0;529200.0;2743457.8880677316
17;2007;6;18;47.9;171.70020451221882;53.0;1034640.0;3708724.417463926
18;2007;6;19;53.4;180.430057715737;53.0;1153440.0;3897289.2466599196
19;2007;6;20;61.3;192.20747688178568;53.0;1324080.0;4151681.5006465707
20;2007;6;21;66.4;199.4059947804448;53.0;1434240.0000000002;4307169.487257607
21;2007;6;22;52.2;178.56545350188463;53.0;1127520.0;3857013.7956407075
22;2007;6;23;72.7;207.92324295454307;53.0;1570320.0;4491142.04781813
23;2007;6;24;81.1;218.72096794522068;53.0;1751760.0;4724372.907616766
24;2007;6;25;88.5;227.77457254898582;53.0;1911600.0;4919930.767058094
25;2007;6;26;94.9;235.30332960410706;53.0;2049840.0;5082551.919448713
26;2007;6;27;79.8;217.08768337297982;53.0;1723680.0;4689093.960856364
27;2007;6;28;89.9;229.4441992681465;53.0;1941840.0;4955994.704191964
28;2007;6;29;7.4;75.60818655329952;53.0;159840.0;1633136.8295512698
29;2007;6;30;6.8;72.95709528207426;53.0;146880.0;1575873.258092804
30;2007;7;1;5.3;65.71840714757452;53.0;114480.0;1419517.5943876095
31;2007;7;2;6.7;72.5032294298141;53.0;144720.0;1566069.7556839844
32;2007;7;3;9.9;85.5717399137298;53.0;213840.0;1848349.5821365637
33;2007;7;4;22.6;122.54867541505413;53.0;488160.0;2647051.3889651694
34;2007;7;5;48.0;171.8633304276265;53.0;1036800.0;3712247.9372367323
35;2007;7;6;58.7;188.42080057146228;53.0;1267920.0;4069889.2923435853
36;2007;7;7;75.2;211.19953001693767;53.0;1624320.0;4561909.848365854
37;2007;7;8;61.7;192.7827549106293;53.0;1332720.0;4164107.5060695936
38;2007;7;9;76.3;212.6237073923935;53.0;1648080.0;4592672.0796757
39;2007;7;10;82.6;220.5886728226636;53.0;1784160.0;4764715.332969533
40;2007;7;11;89.5;228.96850093488888;53.0;1933200.0;4945719.6201936
41;2007;7;12;75.9;212.10702801469782;53.0;1639440.0;4581511.805117473
42;2007;7;13;69.2;203.23956327960525;53.0;1494720.0;4389974.566839473
43;2007;7;14;76.1;212.36553868657816;53.0;1643760.0;4587095.635630089
44;2007;7;15;78.7;215.69527103034739;53.0;1699920.0;4659017.854255503
45;2007;7;16;75.4;211.45924739708462;53.0;1628640.0;4567519.743777027
46;2007;7;17;62.0;193.2130220086593;53.0;1339200.0;4173401.2753870403
47;2007;7;18;24.7;127.47130093912897;53.0;533520.0;2753380.1002851855
48;2007;7;19;23.8;125.3891776753105;53.0;514080.0;2708406.237786707
49;2007;7;20;32.1;143.2853337792154;53.0;693360.0;3094963.209631053
50;2007;7;21;41.4;160.69686131009206;53.0;894240.0;3471052.204297988
51;2007;7;22;58.3;187.8310297936968;53.0;1259280.0;4057150.243543851
52;2007;7;23;71.0;205.66284325274984;53.0;1533600.0;4442317.4142593965
53;2007;7;24;53.9;181.20053519695975;53.0;1164240.0;3913931.5602543307
54;2007;7;25;58.8;188.5679829349623;53.0;1270080.0;4073068.431395185
55;2007;7;26;74.0;209.6338697953605;53.0;1598400.0;4528091.587579787
56;2007;7;27;65.2;197.7381028493607;53.0;1408320.0;4271143.021546191
57;2007;7;28;58.5;188.12605698322787;53.0;1263600.0;4063522.830837722
58;2007;7;29;52.0;178.25263624975824;53.0;1123200.0;3850256.942994778
59;2007;7;30;46.5;169.39747233984335;53.0;1004400.0;3658985.4025406167
60;2007;7;31;53.8;181.04656865342946;53.0;1162080.0;3910605.8829140766
61;2007;8;1;53.5;180.58445632392483;53.0;1155600.0;3900624.256596776
62;2007;8;2;60.9;191.63029271885924;53.0;1315440.0;4139214.322727359
63;2007;8;3;46.8;169.89406880084897;53.0;1010880.0;3669711.886098338
64;2007;8;4;57.0;185.89889188693746;53.0;1231200.0;4015416.06475785
65;2007;8;5;72.0;206.99574673181496;53.0;1555200.0;4471108.129407203
66;2007;8;6;46.7;169.72853527008954;53.0;1008720.0;3666136.3618339337
67;2007;8;7;61.8;192.9262891392981;53.0;1334880.0;4167207.8454088387
68;2007;8;8;30.5;140.04043784561014;53.0;658800.0;3024873.4574651793
69;2007;8;9;30.2;139.42224783158923;53.0;652320.0;3011520.5531623275
70;2007;8;10;24.5;127.011939262395;53.0;529200.0;2743457.8880677316
71;2007;8;11;30.6;140.24580681256796;53.0;660960.0;3029309.427151468
72;2007;8;12;35.3;149.53673485526258;53.0;762480.0;3229993.472873672
73;2007;8;13;20.9;118.38770841694836;53.0;451440.0;2557174.5018060845
74;2007;8;14;42.2;162.096392470156;53.0;911520.0;3501282.07735537
75;2007;8;15;28.7;136.2830097727063;53.0;619920.0;2943713.011090456
76;2007;8;16;13.2;96.84963289964153;53.0;285120.0;2091952.070632257
77;2007;8;17;6.0;69.21801971592863;53.0;129600.0;1495109.2258640584
78;2007;8;18;1.3;37.10453879141603;52.7;28080.0;801458.0378945862
79;2007;8;19;0.5;0.0;50.5;10800.0;0.0
80;2007;8;20;0.0;0.0;0.0;0.0;0.0
81;2007;8;21;0.0;0.0;0.0;0.0;0.0
82;2007;8;22;0.4;0.0;50.300000000000004;8640.0;0.0
83;2007;8;23;0.8;0.0;51.900000000000006;17280.0;0.0
84;2007;8;24;1.1;34.724312689738056;52.300000000000004;23760.0;750045.1540983419
85;2007;8;25;1.1;34.724312689738056;52.300000000000004;23760.0;750045.1540983419
86;2007;8;26;1.8;42.255412957928144;53.0;38880.0;912716.919891248
87;2007;8;27;1.3;37.10453879141603;52.7;28080.0;801458.0378945862
88;2007;8;28;1.4;38.215309598872935;52.7;30240.0;825450.6873356553
89;2007;8;29;0.7;0.0;51.900000000000006;15120.0;0.0
90;2007;8;30;0.7;0.0;51.900000000000006;15120.0;0.0
91;2007;8;31;1.1;34.724312689738056;52.300000000000004;23760.0;750045.1540983419
92;2007;9;1;0.4;0.0;50.300000000000004;8640.0;0.0
93;2007;9;2;0.0;0.0;0.0;0.0;0.0
94;2007;9;3;0.7;0.0;51.900000000000006;15120.0;0.0
95;2007;9;4;0.3;0.0;49.1;6480.0;0.0
96;2007;9;5;0.9;32.07638673256498;52.0;19440.0;692849.9534234036
97;2007;9;6;0.1;0.0;42.900000000000006;2160.0;0.0
98;2007;9;7;0.8;0.0;51.900000000000006;17280.0;0.0
99;2007;9;8;0.9;32.07638673256498;52.0;19440.0;692849.9534234036
100;2007;9;9;0.4;0.0;50.300000000000004;8640.0;0.0
101;2007;9;10;0.8;0.0;51.900000000000006;17280.0;0.0
102;2007;9;11;0.5;0.0;50.5;10800.0;0.0
103;2007;9;12;0.0;0.0;0.0;0.0;0.0
104;2007;9;13;0.0;0.0;0.0;0.0;0.0
105;2007;9;14;0.0;0.0;0.0;0.0;0.0
106;2007;9;15;0.0;0.0;0.0;0.0;0.0
107;2007;9;16;0.0;0.0;0.0;0.0;0.0
108;2007;9;17;0.5;0.0;50.5;10800.0;0.0
109;2007;9;18;0.6;0.0;50.7;12960.0;0.0
110;2007;9;19;0.4;0.0;50.300000000000004;8640.0;0.0
111;2007;9;20;0.2;0.0;47.400000000000006;4320.0;0.0
112;2007;9;21;0.0;0.0;0.0;0.0;0.0
113;2007;9;22;0.0;0.0;0.0;0.0;0.0
114;2007;9;23;0.0;0.0;0.0;0.0;0.0
115;2007;9;24;0.0;0.0;0.0;0.0;0.0
116;2007;9;25;0.0;0.0;0.0;0.0;0.0
117;2007;9;26;0.0;0.0;0.0;0.0;0.0
118;2007;9;27;0.0;0.0;0.0;0.0;0.0
119;2007;9;28;0.0;0.0;0.0;0.0;0.0
120;2007;9;29;0.0;0.0;0.0;0.0;0.0
121;2007;9;30;0.0;0.0;0.0;0.0;0.0
